id,scale,region,locality,supply,population,bidding_units,opening_price,expected_value,sd_value_narrow,sd_value_wide,is_high_demand,,,,,,,,,,
241,national,SE,1,10,363237,130,650000,1465573,39871,488524,0,,,,,,,,,,
242,national,SE,15,10,362053,250,1250000,1156948,17127,385649,0,,,,,,,,,,
243,national,FW,3,10,361652,9,45000,1116902,16534,372301,0,,,,,,,,,,
244,national,SE,50,10,360886,9,45000,1181466,24740,393822,0,,,,,,,,,,
245,national,GL,2,10,360552,83,415000,1557076,27803,519025,0,,,,,,,,,,
246,national,SE,36,10,358900,61,305000,1385181,33322,461727,0,,,,,,,,,,
247,national,SE,4,10,358396,130,650000,1045458,25150,348486,0,,,,,,,,,,
248,national,SE,7,10,356101,130,650000,1072455,19150,357485,0,,,,,,,,,,
249,national,P,13,10,354182,130,650000,1061629,25539,353876,0,,,,,,,,,,
250,national,SE,51,10,352838,81,405000,1106616,33627,368872,0,,,,,,,,,,
251,national,P,21,10,352596,190,950000,1563494,42535,521165,0,,,,,,,,,,
252,national,SE,32,10,349748,370,1850000,1238589,22117,412863,0,,,,,,,,,,
253,national,P,1,10,348248,190,950000,1014090,24395,338030,0,,,,,,,,,,
254,national,SE,20,10,347611,130,650000,1593698,43356,531233,0,,,,,,,,,,
255,national,P,17,10,346580,190,950000,999612,14798,333204,0,,,,,,,,,,
256,national,P,6,10,346354,190,950000,942491,28639,314164,0,,,,,,,,,,
257,national,SW,1,10,345454,100,500000,1181827,24748,393942,0,,,,,,,,,,
258,national,SW,19,10,343206,360,1800000,940331,28574,313444,0,,,,,,,,,,
259,national,P,2,10,342108,190,950000,1762309,26089,587436,0,,,,,,,,,,
260,national,P,18,10,340194,190,950000,1210338,21612,403446,0,,,,,,,,,,
261,national,SE,26,10,338416,58,290000,947970,19851,315990,0,,,,,,,,,,
262,national,GL,14,10,335871,180,900000,925532,13701,308511,0,,,,,,,,,,
263,national,SE,34,9,335865,150,750000,1369184,32938,456395,0,,,,,,,,,,
264,national,RM,6,10,328567,75,375000,1122872,34121,374291,0,,,,,,,,,,
265,national,ME,7,7,325075,8,40000,945595,19801,315198,0,,,,,,,,,,
266,national,ME,7,1,325075,8,40000,927210,28175,309070,0,,,,,,,,,,
267,national,SE,28,10,324637,96,480000,902083,18890,300694,0,,,,,,,,,,
268,national,RM,7,10,324077,55,275000,954483,25967,318161,0,,,,,,,,,,
269,national,SE,48,10,321175,95,475000,942934,22684,314311,0,,,,,,,,,,
270,national,SE,39,10,319431,8,40000,1825977,43926,608659,0,,,,,,,,,,
271,national,P,19,10,318414,170,850000,1149555,24072,383185,0,,,,,,,,,,
272,national,ME,12,9,317863,73,365000,1009628,14946,336543,0,,,,,,,,,,
273,national,ME,12,1,317863,73,365000,1004451,17936,334817,0,,,,,,,,,,
274,national,RM,4,10,317751,73,365000,969023,20292,323008,0,,,,,,,,,,
275,national,P,20,10,315713,170,850000,873091,12925,291030,0,,,,,,,,,,
276,national,SE,54,10,312837,7,35000,819471,14633,273157,0,,,,,,,,,,
277,national,SE,8,10,311312,7,35000,856289,15290,285430,0,,,,,,,,,,
278,national,SE,21,10,310645,210,1050000,1032095,28078,344032,0,,,,,,,,,,
279,national,SE,35,10,310385,110,550000,858099,26075,286033,0,,,,,,,,,,
280,national,SW,15,4,304111,250,1250000,886302,26932,295434,0,,,,,,,,,,
281,national,SW,15,6,304111,250,1250000,907821,13439,302607,0,,,,,,,,,,
282,national,SE,19,10,303722,90,450000,1067828,19067,355943,0,,,,,,,,,,
283,national,GL,12,10,303041,7,35000,896854,13277,298951,0,,,,,,,,,,
284,national,SE,24,10,301206,7,35000,857098,15304,285699,0,,,,,,,,,,
285,national,FW,3,10,300915,200,1000000,877395,12989,292465,0,,,,,,,,,,
286,national,FW,10,10,300767,51,255000,977191,20462,325730,0,,,,,,,,,,
287,national,SE,20,10,298749,160,800000,905667,27520,301889,0,,,,,,,,,,
288,national,SE,34,10,297865,140,700000,1245598,22242,415199,0,,,,,,,,,,
289,national,GL,20,10,296366,160,800000,1423534,21074,474511,0,,,,,,,,,,
290,national,ME,7,10,295081,51,255000,1032031,15278,344010,0,,,,,,,,,,
291,national,SW,9,10,291829,240,1200000,776687,11498,258896,0,,,,,,,,,,
292,national,FW,1,10,291826,87,435000,1511853,26996,503951,0,,,,,,,,,,
293,national,FW,6,10,289034,240,1200000,943593,28673,314531,0,,,,,,,,,,
294,national,P,29,10,285407,85,425000,1569639,37760,523213,0,,,,,,,,,,
295,national,SE,40,10,282468,7,35000,1049698,15540,349899,0,,,,,,,,,,
296,national,P,21,10,280505,64,320000,811984,17003,270661,0,,,,,,,,,,
297,national,SW,17,10,278831,48,240000,1328035,19660,442678,0,,,,,,,,,,
298,national,GL,21,10,278831,130,650000,1126222,16672,375407,0,,,,,,,,,,
299,national,P,4,10,277029,150,750000,708865,19285,236288,0,,,,,,,,,,
300,national,SW,16,10,274002,63,315000,1145990,31177,381997,0,,,,,,,,,,
301,national,SW,15,4,269622,220,1100000,930081,28262,310027,0,,,,,,,,,,
302,national,SE,47,10,268978,220,1100000,802225,19299,267408,0,,,,,,,,,,
303,national,P,2,10,264752,150,750000,820517,14651,273506,0,,,,,,,,,,
304,national,GL,1,10,257786,270,1350000,873503,23764,291168,0,,,,,,,,,,
305,national,GL,19,10,257376,170,850000,820505,22322,273502,0,,,,,,,,,,
306,national,GL,15,8,256337,44,220000,858025,20641,286008,0,,,,,,,,,,
307,national,ME,5,8,255260,44,220000,781793,18807,260598,0,,,,,,,,,,
308,national,SE,51,10,252548,92,460000,1151507,20561,383836,0,,,,,,,,,,
309,national,RM,9,10,252481,170,850000,899657,18839,299886,0,,,,,,,,,,
310,national,SE,39,10,252467,43,215000,695760,12424,231920,0,,,,,,,,,,
311,national,P,29,10,249287,170,850000,661962,18009,220654,0,,,,,,,,,,
312,national,P,8,10,245402,73,365000,782316,23772,260772,0,,,,,,,,,,
313,national,SE,34,9,244153,89,445000,744851,22634,248284,0,,,,,,,,,,
314,national,SE,35,10,242524,130,650000,889146,13163,296382,0,,,,,,,,,,
315,national,SW,17,10,241798,41,205000,979154,20504,326385,0,,,,,,,,,,
316,national,P,26,10,240913,160,800000,616903,16783,205634,0,,,,,,,,,,
317,national,SE,20,10,240344,55,275000,705240,16965,235080,0,,,,,,,,,,
318,national,SE,45,10,239989,110,550000,679327,20643,226442,0,,,,,,,,,,
319,national,SE,34,10,238596,110,550000,1106345,30098,368782,0,,,,,,,,,,
320,national,SE,50,10,234712,86,430000,1032611,21623,344204,0,,,,,,,,,,
321,national,SE,17,10,233302,40,200000,605802,14573,201934,0,,,,,,,,,,
322,national,SE,27,10,231201,110,550000,720623,17336,240208,0,,,,,,,,,,
323,national,SE,23,10,230924,5,25000,603503,18339,201168,0,,,,,,,,,,
324,national,P,8,10,230920,84,420000,645615,17564,215205,0,,,,,,,,,,
325,national,P,21,10,229798,100,500000,597918,14384,199306,0,,,,,,,,,,
326,national,SE,1,10,228786,68,340000,697442,12454,232481,0,,,,,,,,,,
327,national,RM,4,10,227487,52,260000,917950,24973,305983,0,,,,,,,,,,
328,national,SE,44,10,223344,66,330000,620019,16868,206673,0,,,,,,,,,,
329,national,SW,13,10,221455,150,750000,1029627,15242,343209,0,,,,,,,,,,
330,national,SW,5,4,221221,81,405000,678497,18458,226166,0,,,,,,,,,,
331,national,P,7,10,219945,65,325000,552227,13285,184076,0,,,,,,,,,,
332,national,P,5,10,218063,80,400000,626470,19036,208823,0,,,,,,,,,,
333,national,GL,18,10,216417,120,600000,629942,13191,209981,0,,,,,,,,,,
334,national,GL,21,10,216161,120,600000,559261,11711,186420,0,,,,,,,,,,
335,national,SE,33,10,214872,5,25000,453704,8101,151235,0,,,,,,,,,,
336,national,SE,50,10,213977,49,245000,715674,21747,238558,0,,,,,,,,,,
337,national,RM,14,10,213445,63,315000,710338,10516,236779,0,,,,,,,,,,
338,national,SE,2,10,210229,96,480000,521047,10911,173682,0,,,,,,,,,,
339,national,SW,7,10,209606,36,180000,612641,16667,204214,0,,,,,,,,,,
340,national,GL,12,10,208861,5,25000,524918,9373,174973,0,,,,,,,,,,
341,national,P,23,10,208777,36,180000,948147,16930,316049,0,,,,,,,,,,
342,national,SE,20,10,208100,76,380000,864524,18103,288175,0,,,,,,,,,,
343,national,SW,4,10,201081,91,455000,670434,20372,223478,0,,,,,,,,,,
344,national,FW,1,10,200813,46,230000,568942,13687,189647,0,,,,,,,,,,
345,national,P,14,10,197462,45,225000,556939,15151,185646,0,,,,,,,,,,
346,national,SE,40,10,197430,5,25000,539287,12973,179762,0,,,,,,,,,,
347,national,GL,20,10,196949,160,800000,801313,21800,267104,0,,,,,,,,,,
348,national,P,2,10,196679,89,445000,559602,17004,186534,0,,,,,,,,,,
349,national,GL,18,10,195408,130,650000,1124627,16649,374876,0,,,,,,,,,,
350,national,GL,1,10,193858,200,1000000,605291,12675,201764,0,,,,,,,,,,
351,national,ME,7,9,193433,44,220000,523323,15902,174441,0,,,,,,,,,,
352,national,ME,7,1,193433,44,220000,536466,9579,178822,0,,,,,,,,,,
353,national,SW,20,10,192692,200,1000000,481490,13099,160497,0,,,,,,,,,,
354,national,GL,2,10,186133,200,1000000,909447,19044,303149,0,,,,,,,,,,
355,national,RM,6,10,185790,4,20000,548538,14923,182846,0,,,,,,,,,,
356,national,SW,12,10,184725,150,750000,436488,7794,145496,0,,,,,,,,,,
357,national,P,30,10,183639,4,20000,510441,9115,170147,0,,,,,,,,,,
358,national,P,7,10,183101,54,270000,480825,7118,160275,0,,,,,,,,,,
359,national,SW,8,10,179889,99,495000,434723,11827,144908,0,,,,,,,,,,
360,national,RM,8,10,179703,99,495000,725776,10744,241925,0,,,,,,,,,,
361,national,P,9,10,177150,53,265000,431742,10386,143914,0,,,,,,,,,,
362,national,SW,8,10,177148,120,600000,403867,8457,134622,0,,,,,,,,,,
363,national,GL,2,10,173607,40,200000,425364,10233,141788,0,,,,,,,,,,
364,national,ME,8,10,173097,30,150000,510082,10681,170027,0,,,,,,,,,,
365,national,SE,42,9,171848,39,195000,449466,9412,149822,0,,,,,,,,,,
366,national,SW,6,10,170223,50,250000,364156,6502,121385,0,,,,,,,,,,
367,national,P,31,10,169468,39,195000,784239,16422,261413,0,,,,,,,,,,
368,national,GL,18,10,166426,180,900000,904092,18932,301364,0,,,,,,,,,,
369,national,SW,20,10,165252,28,140000,521345,15842,173782,0,,,,,,,,,,
370,national,RM,10,10,164900,140,700000,556065,15128,185355,0,,,,,,,,,,
371,national,P,32,10,163741,38,190000,405778,8497,135259,0,,,,,,,,,,
372,national,SE,41,10,162684,59,295000,454120,13799,151373,0,,,,,,,,,,
373,national,RM,2,10,159063,27,135000,224332,6817,74777,0,,,,,,,,,,
374,national,SE,46,10,158283,72,360000,368615,11201,122872,0,,,,,,,,,,
375,national,P,2,10,155366,71,355000,617001,16786,205667,0,,,,,,,,,,
376,national,SW,8,10,152050,84,420000,435549,10478,145183,0,,,,,,,,,,
377,national,ME,9,10,148289,120,600000,143804,2568,47935,0,,,,,,,,,,
378,national,FW,7,10,146709,3,15000,382078,10394,127359,0,,,,,,,,,,
379,national,FW,1,10,145928,43,215000,338714,8148,112905,0,,,,,,,,,,
380,national,P,22,10,144847,98,490000,336384,10222,112128,0,,,,,,,,,,
381,national,SE,1,10,144376,43,215000,290438,4300,96813,0,,,,,,,,,,
382,national,P,14,10,144248,33,165000,705600,14775,235200,0,,,,,,,,,,
383,national,SW,11,10,143731,120,600000,346704,9432,115568,0,,,,,,,,,,
384,national,RM,7,10,143015,24,120000,345648,7238,115216,0,,,,,,,,,,
385,national,SE,35,10,143013,52,260000,325333,7826,108444,0,,,,,,,,,,
386,national,SW,10,10,142644,42,210000,345412,6168,115137,0,,,,,,,,,,
387,national,SW,10,10,142252,120,600000,496361,7348,165454,0,,,,,,,,,,
388,national,P,31,10,141973,42,210000,417059,8733,139020,0,,,,,,,,,,
389,national,SE,19,10,138886,32,160000,350158,8424,116719,0,,,,,,,,,,
390,national,SE,38,10,137035,75,375000,350444,5188,116815,0,,,,,,,,,,
391,national,P,16,10,133395,73,365000,336402,6007,112134,0,,,,,,,,,,
392,national,RM,3,10,132721,23,115000,279961,6735,93320,0,,,,,,,,,,
393,national,SW,6,10,130044,30,150000,257318,6190,85773,0,,,,,,,,,,
394,national,SW,14,10,128849,110,550000,409030,12429,136343,0,,,,,,,,,,
395,national,SW,18,10,127971,100,500000,328962,9996,109654,0,,,,,,,,,,
396,national,RM,13,10,127963,22,110000,304720,8290,101573,0,,,,,,,,,,
397,national,RM,11,10,125434,46,230000,381000,5640,127000,0,,,,,,,,,,
398,national,P,29,10,124932,46,230000,290043,8814,96681,0,,,,,,,,,,
399,national,P,15,10,124110,3,15000,269882,7342,89961,0,,,,,,,,,,
400,national,SE,19,10,122863,3,15000,446681,6613,148894,0,,,,,,,,,,
401,national,SW,20,10,119412,44,220000,338120,5005,112707,0,,,,,,,,,,
402,national,GL,8,10,118693,65,325000,374325,6684,124775,0,,,,,,,,,,
403,national,P,24,10,116439,3,15000,297592,7159,99197,0,,,,,,,,,,
404,national,SW,4,10,114543,34,170000,276797,8411,92266,0,,,,,,,,,,
405,national,ME,13,10,110191,120,600000,275031,8357,91677,0,,,,,,,,,,
406,national,P,24,10,108779,25,125000,420262,10110,140087,0,,,,,,,,,,
407,national,P,12,10,108648,19,95000,273330,4046,91110,0,,,,,,,,,,
408,national,SE,44,10,107676,25,125000,197968,4145,65989,0,,,,,,,,,,
409,national,SW,1,10,107449,25,125000,187340,3345,62447,0,,,,,,,,,,
410,national,SW,15,5,104558,2,10000,235430,3485,78477,0,,,,,,,,,,
411,national,SW,15,3,104558,2,10000,228711,6950,76237,0,,,,,,,,,,
412,national,GL,3,10,102976,2,10000,236622,3503,78874,0,,,,,,,,,,
413,national,SW,17,10,102732,18,90000,240488,3560,80163,0,,,,,,,,,,
414,national,SE,45,10,102615,47,235000,205320,6239,68440,0,,,,,,,,,,
415,national,GL,17,10,102382,30,150000,339092,8157,113031,0,,,,,,,,,,
416,national,SW,17,10,100685,17,85000,223751,6799,74584,0,,,,,,,,,,
417,national,SE,28,10,99546,23,115000,191698,2838,63899,0,,,,,,,,,,
418,national,P,23,10,98461,2,10000,337078,9170,112359,0,,,,,,,,,,
419,national,SW,12,10,95311,78,390000,228617,6947,76206,0,,,,,,,,,,
420,national,RM,1,10,91716,21,105000,278542,5833,92847,0,,,,,,,,,,
421,national,P,27,10,91571,42,210000,214003,4481,71334,0,,,,,,,,,,
422,national,SW,7,10,84529,25,125000,202780,3621,67593,0,,,,,,,,,,
423,national,SW,5,4,84294,31,155000,215765,3853,71922,0,,,,,,,,,,
424,national,P,31,10,83465,14,70000,187369,3924,62456,0,,,,,,,,,,
425,national,SW,16,10,82332,24,120000,174762,4204,58254,0,,,,,,,,,,
426,national,SE,1,10,82318,37,185000,167610,2993,55870,0,,,,,,,,,,
427,national,SE,44,9,81339,24,120000,178289,4289,59430,0,,,,,,,,,,
428,national,SE,37,9,80814,55,275000,175704,4227,58568,0,,,,,,,,,,
429,national,SE,37,1,80814,55,275000,178804,2647,59601,0,,,,,,,,,,
430,national,SE,25,10,79775,29,145000,156928,3775,52309,0,,,,,,,,,,
431,national,P,32,10,79541,18,90000,172243,5234,57414,0,,,,,,,,,,
432,national,SE,40,10,78393,2,10000,157559,4788,52520,0,,,,,,,,,,
433,national,SE,8,10,78309,64,320000,137437,3739,45812,0,,,,,,,,,,
434,national,P,25,10,78183,18,90000,162353,4933,54118,0,,,,,,,,,,
435,national,SW,14,10,77549,53,265000,209588,6369,69863,0,,,,,,,,,,
436,national,GL,5,10,77440,82,410000,224013,6807,74671,0,,,,,,,,,,
437,national,GL,20,10,76906,35,175000,197969,4145,65990,0,,,,,,,,,,
438,national,RM,12,10,75450,22,110000,183047,3268,61016,0,,,,,,,,,,
439,national,FW,9,10,74653,13,65000,161662,4398,53887,0,,,,,,,,,,
440,national,SW,4,10,73183,27,135000,121711,3699,40570,0,,,,,,,,,,
441,national,SW,14,10,72548,59,295000,195575,5321,65192,0,,,,,,,,,,
442,national,RM,2,10,72175,49,245000,183161,3835,61054,0,,,,,,,,,,
443,national,FW,11,10,71664,16,80000,192783,5858,64261,0,,,,,,,,,,
444,national,RM,10,10,71373,48,240000,225903,6146,75301,0,,,,,,,,,,
445,national,RM,4,10,70406,16,80000,174558,3655,58186,0,,,,,,,,,,
446,national,SW,16,10,70297,16,80000,171128,3056,57043,0,,,,,,,,,,
447,national,RM,7,10,69762,12,60000,164619,2940,54873,0,,,,,,,,,,
448,national,SW,10,10,69603,57,285000,144683,2583,48228,0,,,,,,,,,,
449,national,FW,9,10,68665,16,80000,203976,4271,67992,0,,,,,,,,,,
450,national,P,22,10,66156,36,180000,142422,2982,47474,0,,,,,,,,,,
451,national,P,8,10,65577,19,95000,129217,2307,43072,0,,,,,,,,,,
452,national,P,3,10,65203,44,220000,149298,3592,49766,0,,,,,,,,,,
453,national,P,6,10,64135,23,115000,199107,3555,66369,0,,,,,,,,,,
454,national,SE,51,10,62965,14,70000,132908,1968,44303,0,,,,,,,,,,
455,national,P,10,10,62951,43,215000,159767,2365,53256,0,,,,,,,,,,
456,national,FW,9,10,62859,1,5000,208360,3720,69453,0,,,,,,,,,,
457,national,P,26,10,61592,42,210000,136506,3284,45502,0,,,,,,,,,,
458,national,SW,5,4,59503,40,200000,100680,2739,33560,0,,,,,,,,,,
459,national,SW,17,10,59127,10,50000,156724,2320,52241,0,,,,,,,,,,
460,national,SE,5,10,57694,17,85000,81401,2214,27134,0,,,,,,,,,,
461,national,SE,16,10,57502,1,5000,107296,2247,35765,0,,,,,,,,,,
462,national,GL,14,10,56264,1,5000,137349,2033,45783,0,,,,,,,,,,
463,national,GL,14,10,55155,25,125000,123015,3738,41005,0,,,,,,,,,,
464,national,SW,15,4,54479,20,100000,133756,2801,44585,0,,,,,,,,,,
465,national,RM,12,10,53468,20,100000,135922,3270,45307,0,,,,,,,,,,
466,national,P,3,10,50709,28,140000,108742,1942,36247,0,,,,,,,,,,
467,national,P,2,10,50223,28,140000,122378,1812,40793,0,,,,,,,,,,
468,national,P,22,10,49159,15,75000,116741,1728,38914,0,,,,,,,,,,
469,national,SE,16,10,49027,1,5000,54730,1489,18243,0,,,,,,,,,,
470,national,P,23,10,48521,1,5000,105561,2872,35187,0,,,,,,,,,,
471,national,P,3,10,47170,32,160000,105320,1881,35107,0,,,,,,,,,,
472,national,P,10,10,47014,26,130000,100254,1484,33418,0,,,,,,,,,,
473,national,SW,20,10,45514,8,40000,97441,1443,32480,0,,,,,,,,,,
474,national,FW,7,10,38735,11,55000,83576,1237,27859,0,,,,,,,,,,
475,national,P,19,10,37191,20,100000,90510,1340,30170,0,,,,,,,,,,
476,national,P,22,10,36158,25,125000,60203,1261,20068,0,,,,,,,,,,
477,national,P,28,10,34651,1,5000,76672,1135,25557,0,,,,,,,,,,
478,national,P,24,10,34328,6,30000,73547,2235,24516,0,,,,,,,,,,
479,national,P,1,10,34315,23,115000,86363,1279,28788,0,,,,,,,,,,
480,national,SE,5,10,34310,1,5000,29816,532,9939,0,,,,,,,,,,
481,national,P,5,10,33946,19,95000,98757,3001,32919,0,,,,,,,,,,
482,national,SW,14,10,25808,27,135000,56780,841,18927,0,,,,,,,,,,
483,national,SW,17,10,25496,4,20000,61510,910,20503,0,,,,,,,,,,
484,national,SW,17,10,25065,1,5000,48036,1307,16012,0,,,,,,,,,,
485,national,SW,20,10,23231,11,55000,45550,1096,15183,0,,,,,,,,,,
486,national,RM,7,10,21970,4,20000,41057,733,13686,0,,,,,,,,,,
487,national,RM,9,10,21871,5,25000,54978,1671,18326,0,,,,,,,,,,
488,national,RM,11,10,21294,6,30000,77355,1620,25785,0,,,,,,,,,,
489,national,P,2,10,20638,9,45000,18000,321,6000,0,,,,,,,,,,
490,national,RM,5,10,15195,3,15000,28144,766,9381,0,,,,,,,,,,
491,national,SW,20,10,14964,5,25000,21562,385,7187,0,,,,,,,,,,
492,national,SW,20,10,14772,3,15000,24827,675,8276,0,,,,,,,,,,
493,national,P,28,10,11796,3,15000,20413,555,6804,0,,,,,,,,,,
494,national,SW,16,4,5874,2,10000,7471,180,2490,0,,,,,,,,,,
495,national,SE,55,10,3725789,680,2200000,36508075,540460,12169358,0,,,,,,,,,,
496,national,FW,12,10,213241,3,125000,2070122,43349,690041,0,,,,,,,,,,
497,national,SE,56,10,106405,19,60000,1028638,24745,342879,0,,,,,,,,,,
498,national,FW,13,10,55519,1,5000,531122,16139,177041,0,,,,,,,,,,
499,national,SW,21,10,1,1,5000,9598,261,3199,0,,,,,,,,,,
